location,clinic_name,doctors,address,contact_primary,contacts,contact_notes,google_maps_url,operating_hours_text,general_notes
Buona Vista,Northeast Medical Group (Buona Vista),Dr Tan Huali Valerie | Dr Tan Xin Lei,"25 Ghim Moh Link, #01-10, Singapore 270025",66943282,66943282,,https://www.google.com/maps/search/?api=1&query=Northeast+Medical+Group+%28Buona+Vista%29%2C+25+Ghim+Moh+Link%2C+%2301-10%2C+Singapore+270025,Mon - Thurs: 8.00am - 1:30pm 2:30pm - 5:30pm 6:30pm - 9:30pm | Fri: 8.00am - 1:30pm 2:30pm - 5:30pm | Sat & Sun: 8.00am - 1:30pm | Closed on PH **Operating hours may vary — please check Google Maps for the most current information,
Changi,Raffles Medical (Terminal 3),Dr Tay Woon Hian,"65 Airport Boulevard, Singapore Changi, Airport, #B2-01, Singapore 819663",62418818,62418818,,https://www.google.com/maps/search/?api=1&query=Raffles+Medical+%28Terminal+3%29%2C+65+Airport+Boulevard%2C+Singapore+Changi%2C+Airport%2C+%23B2-01%2C+Singapore+819663,Mon - Sun: Open 24 Hours | PH: Open 24 hours (please call the clinic to confirm),
Chinatown,Huan Clinic,Dr Huan Meng Wah,"51 Chin Swee Road, #03-111, Singapore 160051",65357628,65357628,,https://www.google.com/maps/search/?api=1&query=Huan+Clinic%2C+51+Chin+Swee+Road%2C+%2303-111%2C+Singapore+160051,Mon - Fri: 9:00am - 1:00pm 2:00pm - 3:00pm | Sat: 9:00am - 11:30am | Closed on Sun & PH,
Chinatown,Chinatown Wellness Clinic,Dr Lai Li Cheng,"531 Upper Cross Street, #02-01, Singapore 050531",62267188,62267188,,https://www.google.com/maps/search/?api=1&query=Chinatown+Wellness+Clinic%2C+531+Upper+Cross+Street%2C+%2302-01%2C+Singapore+050531,Mon - Fri: 8:30am - 1:00pm 2:00pm - 5:00pm | Sat: 9:00am - 1:00pm | Closed on Sun & PH,
Choa Chu Kang,Clover Medical Clinic,Dr Han Whie Kwang,"21 Choa Chu Kang, North 6, #01-01, Yew Tee Point, Singapore 689578",65094480,65094480,,https://www.google.com/maps/search/?api=1&query=Clover+Medical+Clinic%2C+21+Choa+Chu+Kang%2C+North+6%2C+%2301-01%2C+Yew+Tee+Point%2C+Singapore+689578,Mon - Thurs: 8:30am - 5:00pm 6:00pm - 9:30pm | Fri 9:00am - 1:00pm | Closed on Sun & PH,
Choa Chu Kang,HealthLight Family Medicine Clinic,Dr Siaw Tung Yeng,"601 Choa Chu Kang, Street 62, #01-09, Singapore 680601",67672281,67672281,,https://www.google.com/maps/search/?api=1&query=HealthLight+Family+Medicine+Clinic%2C+601+Choa+Chu+Kang%2C+Street+62%2C+%2301-09%2C+Singapore+680601,"Mon, Wed & 8:30am - 12:30pm | Thurs: 2:30pm - 5:00pm | Tues, Fri & Sat: 8:30am - 12:30pm | Closed on Sun & PH",
Choa Chu Kang,Healthway Medical (Sunshine Place),Dr Yeang Ming Sheng,"475 Choa Chu Kang, Avenue 3, #02-03, Sunshine Place, Singapore 680475",68926330,68926330 | 67698438,,https://www.google.com/maps/search/?api=1&query=Healthway+Medical+%28Sunshine+Place%29%2C+475+Choa+Chu+Kang%2C+Avenue+3%2C+%2302-03%2C+Sunshine+Place%2C+Singapore+680475,"Mon - Thurs: 8:30am - 12:45pm 2:00pm - 4:45pm 6:00pm - 8:45pm | Fri*: 8:30am - 12:45pm 2:00pm - 4:45pm | Sat* & Sun*: 8:30am - 12:45pm | PH*: 8:30am - 12:45pm (*) - Clinic hours are subject to change, please call before visiting",
Choa Chu Kang,Healthway Medical Clinic,Dr Teo Cheng Rong,"533 Choa Chu Kang, Street 51, #02-07, Limbang Shopping, Centre, Singapore 680533",60165119,60165119,,https://www.google.com/maps/search/?api=1&query=Healthway+Medical+Clinic%2C+533+Choa+Chu+Kang%2C+Street+51%2C+%2302-07%2C+Limbang+Shopping%2C+Centre%2C+Singapore+680533,"Mon - Thurs: 8:30am - 1:00pm 2:00pm - 5:00pm 6:00pm - 9:00pm | Fri: 8:30am - 1:00pm 2:00pm - 5:00pm | Sat, Sun & PH: 8:30am - 1:00pm",
Choa Chu Kang,Jo-Lin Family Clinic & Surgery,Dr Josephine Lee,"533 Choa Chu Kang, Street 51, #02-06, Limbang Shopping, Centre, Singapore 680533",67606014,67606014,,https://www.google.com/maps/search/?api=1&query=Jo-Lin+Family+Clinic+%26+Surgery%2C+533+Choa+Chu+Kang%2C+Street+51%2C+%2302-06%2C+Limbang+Shopping%2C+Centre%2C+Singapore+680533,"Mon, Tues, & 8:30am - 12:30pm | Thurs: 2:00pm - 4:00pm 6:30pm - 9:30pm | Wed: 8:30am - 12:30pm | Fri: 6:30pm - 9:30pm 8:30am - 12:30pm 2:00pm - 4:00pm | Sat: 8:30am - 12:30pm | Sun: 6:30pm - 9:30pm | Closed on PH",
Choa Chu Kang,Life Vista Family Clinic Pte Ltd,Dr Audrey Khi | Dr Kenneth Gwee | Dr Sim Dominic | Dr Lim Kim Show,"309 Choa Chua Kang, Avenue 4, #03-01, Singapore 680309",67669119,67669119,,https://www.google.com/maps/search/?api=1&query=Life+Vista+Family+Clinic+Pte+Ltd%2C+309+Choa+Chua+Kang%2C+Avenue+4%2C+%2303-01%2C+Singapore+680309,Mon - Sun: 8:00am - 10:00pm,
Choa Chu Kang,OneCare Clinic (Keat Hong LRT),Dr Tan Jun Yuan,"818 Choa Chu Kang, Avenue 1, #01-08, Singapore 680818",69700323,69700323,,https://www.google.com/maps/search/?api=1&query=OneCare+Clinic+%28Keat+Hong+LRT%29%2C+818+Choa+Chu+Kang%2C+Avenue+1%2C+%2301-08%2C+Singapore+680818,Mon - Fri: 8:00am - 3:00pm 6:00pm - 9:00pm | Sat: 8:00am - 12:00pm | Sun: 6:00pm - 9:00pm Check with clinic website for latest updates for clinic's special opening hours on PH.,
Choa Chu Kang,Raffles Medical (Yew Tee Point),Dr Nyi Htun,"21 Choa Chu Kang, North 6, #01-02, Yew Tee Point, Singapore 689578",66343132,66343132,,https://www.google.com/maps/search/?api=1&query=Raffles+Medical+%28Yew+Tee+Point%29%2C+21+Choa+Chu+Kang%2C+North+6%2C+%2301-02%2C+Yew+Tee+Point%2C+Singapore+689578,Mon - Fri: 8:30am - 1:00pm 2:00pm - 5:30pm 6:30pm - 9:30pm | Sat & Sun: 8:30am - 1:00pm | Closed on PH,
Choa Chu Kang,The Edinburgh Clinic,Dr Kee Loo | Dr Tan Tze Lee,"306 Choa Chu Kang, Avenue 4, #01-685, Singapore 680306",67634500,67634500,,https://www.google.com/maps/search/?api=1&query=The+Edinburgh+Clinic%2C+306+Choa+Chu+Kang%2C+Avenue+4%2C+%2301-685%2C+Singapore+680306,"Mon & Wed: 8:30am - 12:30pm 2:00pm - 4:00pm 6:30pm - 9:30pm | Tues, Thurs, & 8:30am - 12:30pm | Fri: 2:00pm - 4:00pm | Sat: 8:30am - 1:00pm | Closed on Sun & PH",
City Hall,Drs Singh & Partners,Dr Sorinder Singh,"252 North Bridge Road, #02-16, Raffles City Shopping, Centre, Singapore 179103",63388883,63388883,,https://www.google.com/maps/search/?api=1&query=Drs+Singh+%26+Partners%2C+252+North+Bridge+Road%2C+%2302-16%2C+Raffles+City+Shopping%2C+Centre%2C+Singapore+179103,Mon - Fri: 8:30am - 12:30pm 2:00pm - 5:00pm | Sat: 8:30am - 12:30pm | Closed on Sun & PH,
City Hall,Peninsula Medical Centre,Dr Thant Zin,"111 North Bridge Road, #04-36, Peninsula Plaza, Singapore 179098",62522251,62522251,,https://www.google.com/maps/search/?api=1&query=Peninsula+Medical+Centre%2C+111+North+Bridge+Road%2C+%2304-36%2C+Peninsula+Plaza%2C+Singapore+179098,Mon - Fri: 11:00am - 7:00pm | Sat & Sun: 11:00am - 5:00pm | PH: 11:00am - 5:00pm,
Clementi,Claremont Medical Clinic,Dr Lee Jian Hao Edwin | Dr Tessa Lim | Dr Natalie Ng,"3 Jalan Mas Puteh, Singapore 128609",69808565,69808565,,https://www.google.com/maps/search/?api=1&query=Claremont+Medical+Clinic%2C+3+Jalan+Mas+Puteh%2C+Singapore+128609,Mon & Tues: 8:30am - 8:30pm | Wed: 8:30am - 5:30pm | Thurs & Fri: 8:30am - 12:00pm | Sat & Sun: 8:30am - 12:30pm | Closed on PH,
Clementi,E. L. Chin Family Clinic and Surgery Pte Ltd,Dr Conrad Chin En Loy,"432 Clementi Avenue 3, #01-272, Singapore 120432",67775182,67775182,,https://www.google.com/maps/search/?api=1&query=E.+L.+Chin+Family+Clinic+and+Surgery+Pte+Ltd%2C+432+Clementi+Avenue+3%2C+%2301-272%2C+Singapore+120432,"Mon, Tues, 9:00am - 12:30pm | Thurs, & Fri: 2:00pm - 4:30pm 7:00pm - 9:00pm | Wed: 9:00am - 12:30pm 2:00pm - 4:30pm | Sat & Sun: 9:00am - 12:30pm | Closed on PH",
Clementi,FairCare Family Clinic (Clementi),Dr Li Chao | Dr Menxi,"345 Clementi Avenue 5, #01-94, Singapore 120345",62503198,62503198,,https://www.google.com/maps/search/?api=1&query=FairCare+Family+Clinic+%28Clementi%29%2C+345+Clementi+Avenue+5%2C+%2301-94%2C+Singapore+120345,Mon - Fri: 8:30am - 1:00pm 2:00pm - 4:30pm 6:30pm - 9:30pm | Sat & Sun: 8:30am - 1:00pm | Closed on PH,
Clementi,Frontier Family Medicine Clinic,Dr Koh Tingyi | Dr Koh Thuan Wee,"3151 Commonwealth, Avenue West",67788366,67788366,,https://www.google.com/maps/search/?api=1&query=Frontier+Family+Medicine+Clinic%2C+3151+Commonwealth%2C+Avenue+West,Mon - Fri: 8:30am - 1:00pm 2:00pm - 5:30pm,
Clementi,(Clementi),Dr Elizabeth Chan,"#04-01, Grantral Mall, Singapore 129581",92994162,92994162,,https://www.google.com/maps/search/?api=1&query=%28Clementi%29%2C+%2304-01%2C+Grantral+Mall%2C+Singapore+129581,(WhatsApp/ Sat: 8:30am - 1:00pm SMS only) Closed on Sun & PH,(WhatsApp/ Sat: 8:30am - 1:00pm SMS only) Closed on Sun & PH
Clementi,GoClinic Commonwealth,Dr Yap Chui Yin | Dr Koh Min Jie | Dr Tey Ie Lane,"116 Commonwealth, Crescent, #01-133, Singapore 140116",65923932,65923932,,https://www.google.com/maps/search/?api=1&query=GoClinic+Commonwealth%2C+116+Commonwealth%2C+Crescent%2C+%2301-133%2C+Singapore+140116,"Mon & Wed: 8:30am - 3:00pm 5:30pm - 8:00pm | Tues, Thurs & 8:30am - 3:00pm | Fri: | Sat: 8:30am - 12:30pm | Closed on Sun & PH",
Clementi,Holistic Clinic & Surgery,Dr Lincoln Yeo Kai Pheng | Dr Jovina Summer | Dr Goh Si Ying | Dr Lee Zhi Kang Niccol,"501 West Coast Drive, #01-284, Singapore 120501",67767723,67767723,,https://www.google.com/maps/search/?api=1&query=Holistic+Clinic+%26+Surgery%2C+501+West+Coast+Drive%2C+%2301-284%2C+Singapore+120501,Mon - Sun: 9:00am - 9:00pm | PH: 9:00am - 9:00pm,
